code,title,description,lithology,span,lithology
Es,Old erosion surface on bedrock,Exhumed and denuded paleo-surfaces in various stages of erosion and burial. Surface commonly overlain by Tb and Tv in the western half of the quadrangle; locally overlain by basaltic lag gravels,,late Miocene and early Pliocene,
Es?,"Old erosion surface on bedrock, uncertain",Exhumed and denuded paleo-surfaces in various stages of erosion and burial. Surface commonly overlain by Tb and Tv in the western half of the quadrangle; locally overlain by basaltic lag gravels,,late Miocene and early Pliocene,
JKg,Mainly plutonic rocks,Undivided plutonic rocks of Cretaceous and Jurassic age,,Cretaceous and Jurassic,
JKg?,"Mainly plutonic rocks, uncertain",Undivided plutonic rocks of Cretaceous and Jurassic age,,Cretaceous and Jurassic,
JKpd,Pediment developed on granitic substrate,"Erosional surfaces in various stages of erosion and burial developed on unit JKg (mainly plutonic rocks, Cretaceous and Jurassic), inferred to be mainly Quaternary age",,Quaternary and late Pliocene,
JKpd?,"Pediment developed on granitic substrate, uncertain","Erosional surfaces in various stages of erosion and burial developed on unit JKg (mainly plutonic rocks, Cretaceous and Jurassic), inferred to be mainly Quaternary age",,Quaternary and late Pliocene,
Jkg,Mainly plutonic rocks,Undivided plutonic rocks of Cretaceous and Jurassic age (alternate symbol for JKg),,Cretaceous and Jurassic,
Kgu,Old relief above erosion surface,"Geomorphic area inferred to have been a paleo-highland, relative to the Es geomorphic surface; locally overlain by late Miocene and Pliocene sedimentary and volcanic rock; area inferred to be in geomorphic continuity with upper erosion surface (Es) but area of higher paleo-elevation, developed on unit JKg",,late Miocene and early Pliocene,
PzMz,Sedimentary and metamorphic rocks,Undivided meta-sedimentary and very subordinate meta-volcanic rocks of mainly Mesozoic and Paleozoic age,,Mesozoic and Paleozoic,
PzMz?,"Sedimentary and metamorphic rocks, uncertain",Undivided meta-sedimentary and very subordinate meta-volcanic rocks of mainly Mesozoic and Paleozoic age,,Mesozoic and Paleozoic,
PzMzpd,Pediment developed on Paleozoic and Mesozoic substrate,"Erosional surfaces in various stages of erosion and burial developed on unit PzMz (sedimentary and metamorphic rocks, Mesozoic and Paleozoic), inferred to be mainly Quaternary age",,Quaternary and late Pliocene,
PzMzpd?,"Pediment developed on Paleozoic and Mesozoic substrate, uncertain","Erosional surfaces in various stages of erosion and burial developed on unit PzMz (sedimentary and metamorphic rocks, Mesozoic and Paleozoic), inferred to be mainly Quaternary age",,Quaternary and late Pliocene,
QTb,Basalt and other mafic volcanic rocks,Small volume basaltic cinder cones and lava flows in southeastern Coso Range and southwest of the Coso Range. One flow gives a 2.06+0.34 Ma K/Ar age. Unconformably overlies basement rocks where exposed and overlain by late Quaternary alluvium. Thickness variable,,Quaternary and late Pliocene,
QTbc,"Volcanic center, basalt and other mafic volcanic rocks","Small volume basaltic cinder cones and local flows around 1.75 Ma in southeastern Coso Range west of Echerron Valley; delineates the geomorphic expression of the volcanic cone, source area or edifice. Thickness variable",,Quaternary and late Pliocene,
QToa,Extremely old alluvial fan deposit,"Alluvial fan deposits characterized by eroded surfaces. Compact to consolidated or cemented. Composed of moderately to poorly sorted silt, coarse and fine sand, gravel, cobbles, and rare boulders; moderately to poorly stratified. Moderately vegetated. Forms deeply dissected terrain; deposits generally did not form in present topography. Most or all soil horizons stripped off by erosion. Unit thickness ranges from about 3 to 60 m",,early Pleistocene to Pliocene,
QTs,Sedimentary rocks,"Clastic sedimentary rocks composed of moderately to poorly sorted silt, coarse and fine sand, gravel, cobbles, and boulders; moderately to poorly stratified. Boulders exposed at the surface may be split and disaggregated. Clasts are angular to subrounded, moderately to well bedded or massive; matrix supported carbonate cement may be present, and carbonate matrix may be 25 to 40 percent of exposure. Carbonate cement may be whitish to whitish gray, locally laminated. Generally strongly indurated. Maximum thickness about 80 m",,early Pleistocene and late Pliocene,
QTs?,"Sedimentary rocks, uncertain","Clastic sedimentary rocks composed of moderately to poorly sorted silt, coarse and fine sand, gravel, cobbles, and boulders; moderately to poorly stratified. Boulders exposed at the surface may be split and disaggregated. Clasts are angular to subrounded, moderately to well bedded or massive; matrix supported carbonate cement may be present, and carbonate matrix may be 25 to 40 percent of exposure. Carbonate cement may be whitish to whitish gray, locally laminated. Generally strongly indurated. Maximum thickness about 80 m",,early Pleistocene and late Pliocene,
