code,title,description,lithology,span
Cbb,"Bonanza King Formation, Banded Mountain Member","Combined unit consisting of upper part (Cbbu) and lower part (Cbbl); light- to dark-gray limestone and dolomite; estimated maximum thickness of about 1,100 m",,Cambrian
Cbbl,"Bonanza King Formation, Banded Mountain Member, Lower part","Dolomite and limestone, distinctively striped in alternating light- to dark-gray beds ranging from 0.5- to 6-m thick",,Cambrian
Cbbu,"Bonanza King Formation, Banded Mountain Member, Upper part","Dolomite and limestone, cliff-forming, fine to medium crystalline, thickly bedded; composed of three color bands of approximately equal thickness, from base to top: light gray, dark gray, and medium gray",,Cambrian
Cbp,"Bonanza King Formation, Papoose Lake Member","Mostly dark-gray dolomite and limestone intercalated with sparse but distinctive yellowish-orange, silty and sandy intervals",,Cambrian
Cc,Carrara Formation,Heterogeneous unit of shale or slate and lesser micaceous siltstone intercalated with three prominent beds of dark greenish-gray limestone and silty limestone; estimated maximum thickness of about 490 m,,Cambrian
Cnc,"Nopah Formation, Smoky and Halfpint Members","Smoky Member (Cns) and Halfpint Member (Cnh) combined; dolomite, cliff-forming to medium-bedded, very light gray to dark gray, thin to thick bedded, finely to coarsely crystalline, with locally abundant black chert nodules and layers in upper part",,Cambrian
Cnd,"Nopah Formation, Dunderberg Shale Member","Fissile shale, greenish brown with subordinate interbeds of medium gray to pale brown, thinly bedded limestone",,Cambrian
Cnh,"Nopah Formation, Halfpint Member","Dolomite with locally abundant black chert nodules and layers; medium to dark gray; thin to thick bedded, finely to coarsely crystalline, bedding generally very indistinct",,Cambrian
Cns,"Nopah Formation, Smoky Member","Dolomite, cliff-forming, very light gray to medium gray, in indistinct medium to thick beds",,Cambrian
Cwu,"Wood Canyon Formation, Upper member",Sequence of interbedded quartzite and siltstone with numerous orange dolomite beds most abundant at and near base and are commonly oolitic,,Cambrian
Cz,Zabriskie Quartzite,"Orthoquartzite, cliff-forming, dark to medium purplish red, fine to medium grained, thick bedded, commonly cross-stratified; estimated maximum thickness of about 250 m",,Cambrian
DSh,Hidden Valley Dolomite,"Upper part is light-gray, slightly argillaceous dolomite; lower part is dark-gray, cherty dolomite. Thickness varies from 265 m in southeast part of map to 440 m in northwest part",,Devonian and Silurian
Dl,Lost Burro Formation,"Consists of three parts: upper 340 m is medium-gray, mixed dolomite and limestone overlain by light-gray limestone that is sandy at very top; middle 300 m is light-gray dolomite with some widely spaced dark-gray beds; basal 80 m is light-gray dolomite interbedded with dark-brown weathering siltstone, sandstone, and chert beds",,Devonian
Mp,Perdido Formation,Medium- to dark-gray limestone with interbedded lesser siltstone and sandstone; top eroded; maximum preserved thickness of about 155 m,,Mississippian
Mt,Tin Mountain Limestone,"Limestone, mainly dark to light gray; commonly crinoidal or cherty, with some thin minor pale red argillaceous beds; estimated maximum thickness of about 100 m",,Mississippian
Oe,Eureka Quartzite,"Ledge-forming, white to pink orthoquartzite, grading down into a light- to medium-red dolomitic sandstone at base; estimated maximum thickness of about 120 m",,Ordovician
Oes,Ely Springs Dolomite,"Dolomite and limy dolomite, containing abundant dark-gray chert layers and nodules 5 to 20 cm thick; dark gray grading to medium gray at top; maximum thickness of about 150 m",,Ordovician
Op,Pogonip Group,"Undivided unit used mainly on cross sections; estimated maximum thickness of about 670 m. Consists of Antelope Valley Limestone (Opa), Ninemile Formation (Opn), and Goodwin Limestone (Opg)",,Ordovician
Opa,"Pogonip Group, Antelope Valley Limestone","Limestone and silty limestone; medium-gray; finely to coarsely crystalline and predominantly nodular, massive to laminated beds",,Ordovician
Opg,"Pogonip Group, Goodwin Limestone","Limestone and lesser silty limestone, ledge-forming, medium- to dark-gray",,Ordovician
Opn,"Pogonip Group, Ninemile Formation","Siltstone and shale, light- to moderate-brown or reddish-brown, and typically finely interlaminated with olive-black to dark medium-gray, silty limestone or dolomite",,Ordovician
QTa,Old alluvial deposits,"Gravel, sand, and silt; intermixed and interbedded; light brownish gray to light gray. Clasts are angular to subrounded, generally poorly sorted, poorly bedded, and moderately to well cemented with carbonate. Surface is eroded and dissected; commonly forms rounded ridges or ballenas. Where preserved, pavement is generally moderately to densely packed and includes tabular fragments cemented by pedogenic carbonate and opaline silica; varnish on pavement clasts is variable but commonly strongly developed. Soils typically consist of a stage III to IV carbonate horizon as much as 2 m thick; argillic horizons, where present, postdate much of the erosion. Thickness of unit may exceed 40 m",,early Pleistocene and late Pliocene
QTf,Sedimentary facies of Funeral Formation,"Alluvial conglomerates with angular to subangular clasts as large as 1 m; moderately to poorly consolidated; clasts derived from Paleozoic and Neoproterozoic rocks exposed in adjacent southern Funeral Mountains; strongly fanning dips present in basal 10 to 30 m; maximum exposed thickness of about 200 m. Maximum measured subsurface thickness of 305 m, seen in well Inyo-TSS-1 in center of Texas Spring syncline. In this deepest part of the basin, formation has thin interbeds of playa siltstones in middle and lower parts and, in all but top 70 m of unit, similar siltstone forms a dense matrix around alluvial clasts, such that only uppermost, silt-free 70 m of formation has significant permeability. Base of formation is about 5 Ma in south-central part of map area, decreasing to less than 3.1 Ma to northwest",,lower Pleistocene to Pliocene
QTx,Landslide deposits,Rock-avalanche breccias exposed as tongues extending from Bat Mountain (at southeastern limit of Funeral Mountains) onto alluvial apron to east; composed of clasts derived primarily from Kelleys Well Limestone (Tok) and red sandstone member (Ttr) of Titus Canyon assemblage; also includes erosionally dissected landslide masses exposed in Furnace Creek valley; maximum exposed thickness is about 15 m,,early Pleistocene and late Pliocene
Qai,Alluvial deposits in mid-level terraces,"Gravel, sand, and silt; intermixed and interbedded, weakly to moderately well consolidated. Clasts are unsorted to moderately well sorted, poorly to well bedded, angular to rounded. Surface is planar with moderately packed to densely packed pavement; pavement clasts are moderately to well varnished. In places, thin eolian sand deposits mantle the surface. Soil development varies from a cambic B horizon and a stage I to II carbonate horizon to an argillic B horizon and an approximately 1-m-thick stage III to IV carbonate horizon. Thickness of unit less than 1 m to 10 m",,late Pleistocene
Qao,Alluvial deposits in high terraces,"Gravel, sand, and silt; intermixed and interbedded, light gray, moderately well consolidated. Clasts are unsorted to moderately well sorted, nonbedded to well bedded, angular to rounded; matrix is sandy to silty. Surface is planar with densely packed pavement; pavement clasts are well varnished making this unit medium to dark colored on most surfaces. In places, thin eolian sand deposits mantle surface. Soil development varies from a well-developed cambic B horizon and a stage II carbonate horizon to an argillic B horizon and an approximately 1-m-thick, stage III to IV carbonate horizon. Thickness of unit less than 1 m to 10 m",,Pleistocene
Qay,Alluvial deposits in recently active channels,"Gravel, sand, and silt; intermixed and interbedded; unconsolidated, poorly to moderately well sorted, poorly to well bedded, locally crossbedded. Clasts are commonly angular to subrounded; locally well rounded",,Holocene
Qayo,Alluvial deposits in recent low terraces,"Gravel, sand, and silt; intermixed and interbedded; unconsolidated to weakly consolidated, poorly to moderately well sorted, poorly to well bedded, locally crossbedded. Clasts are angular to subrounded; locally well rounded. Surface has faint bar-and-swale morphology with cobbles marking former bars that are slightly higher than pebbly swales, or is planar with slightly to locally moderately packed pavement. Pavement clasts are weakly to moderately varnished. Soil typically has cambic B horizon and stage I carbonate horizon. Thickness of unit generally ranges from less than 1 m to 10 m, but may be as thick as 20 m adjacent to tectonically active mountain fronts",,middle and early Holocene
Qayy,Alluvial deposits in annually active channels,"Sand, silt, and lesser gravel, intermixed and interbedded; unconsolidated, poorly to moderately well sorted, poorly to well bedded, locally crossbedded; mapped only in the bed of the Amargosa River, which is far more active than any other drainage in the area",,late Holocene
Qc,Colluvial deposits,"Angular to subangular, granule- to boulder-size clasts with variable amounts of sand, silt, and clay as matrix. Generally unsorted and nonbedded or poorly bedded; matrix partly of eolian origin, locally cemented by carbonate. Forms talus deposits and thin mantles of debris along flanks and bases of steep slopes; deposited by rainwash, sheetwash, creep, and mass wasting",,Holocene and Pleistocene
Qls,Landslide deposits,Breccia formed in recent landsliding; landslide geomorphology is pristine to weakly dissected,,Holocene and Pleistocene
Qm,Marl,"Calcareous siltstone, pale-yellowish-brown, yellowish-gray or grayish-orange; weathers white to very light gray; silty to sandy; soft, plastic when wet. Consists of calcite, various clay minerals, quartz and opaline silica, silt, and sand-size rock fragments. Includes several thin chalk beds as thick as 1 m and discontinuous beds of small, irregular limestone nodules. Locally contains sparse to common pencil-size calcified plant stems. Unit is thought to represent deposits and precipitates formed in areas of groundwater discharge, including paludal environments",,Holocene and Pleistocene
Qp,Playa sediments,"Silt, fine sand, clay, and evaporites; intermixed and interbedded; polygonal desiccation cracks common; exposed on floor of Death Valley",,Holocene
Tby,Basalt facies of Funeral Formation,"Olivine basalt lava flows and related local scoria deposits, phenocryst-poor, locally interfingers with lowermost part of Funeral Formation (QTf) in south-central part of map; maximum exposed thickness of about 175 m near south-central map boundary; dated at 4.5 Ma (whole-rock, 40Ar/39Ar)",,Pliocene
Tby-,Basalt facies of Funeral Formation-oxidized vent area,"Olivine basalt lava flows and related local scoria deposits, phenocryst-poor; oxidized vent area; maximum exposed thickness of about 175 m near south-central map boundary; dated at 4.5 Ma (whole-rock, 40Ar/39Ar)",,Pliocene
Tf,"Furnace Creek Formation, Playa and playa margin rocks of Furnace Creek basin","Interbedded playa claystones, siltstones, and sandstones with minor thin limestone and marl interbeds; locally gypsum-bearing or pebbly; moderately to well consolidated, thin- to medium-bedded, pale yellowish tan to light ochre-brown",,Pliocene to upper Miocene
Tfb,"Greenwater Volcanics, Basalt","Sparsely vesicular lava flows and much lesser scoria, with sparse olivine and plagioclase phenocrysts; charcoal gray",,middle Pliocene to upper Miocene
Tfc,"Furnace Creek Formation, Basal conglomerate","Conglomerate beds found at base of Furnace Creek Formation; contains well-rounded to subrounded pebble- to small boulder-size clasts of Paleozoic sedimentary lithologies and Hunter Mountain Quartz Monzonite from the Panamint Range, mixed with clasts of Artist Drive Formation lithologies from Black Mountains, in a sandstone matrix",,upper Miocene
Tfcu,"Furnace Creek Formation, Upper and middle conglomerates","Conglomerate beds found throughout middle and upper part of Furnace Creek Formation; composed mainly of clasts either of Artist Drive Formation lithologies from Black Mountains, or Paleozoic and Neoproterozoic sedimentary lithologies from Funeral Mountains. In both cases, supporting matrix is typically bentonitic sandstone and can be many different bold colors, such as greens, yellows, reds, and browns",,Pliocene
Tfg,"Furnace Creek Formation, Gypsum-rich member",Claystone with abundant gypsum; locally contains minor borate deposits,,Pliocene
Tflx (Cb),"Furnace Creek Formation, Giant-block breccias","Genetically related to rock-fall breccias (Tfrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived shown in parentheses",,lower Pliocene to upper Miocene
Tflx (DSh),"Furnace Creek Formation, Giant-block breccias","Genetically related to rock-fall breccias (Tfrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived shown in parentheses",,lower Pliocene to upper Miocene
Tflx (Oe),"Furnace Creek Formation, Giant-block breccias","Genetically related to rock-fall breccias (Tfrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived shown in parentheses",,lower Pliocene to upper Miocene
Tflx (Oes),"Furnace Creek Formation, Giant-block breccias","Genetically related to rock-fall breccias (Tfrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived shown in parentheses",,lower Pliocene to upper Miocene
Tflx (Op),"Furnace Creek Formation, Giant-block breccias","Genetically related to rock-fall breccias (Tfrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived shown in parentheses",,lower Pliocene to upper Miocene
Tfp,"Greenwater Volcanics, Pyroclastic deposits","Felsic, nonwelded ash-fall tuffs, mainly dacitic and biotite-rich, light gray; probably correlative with petrographically similar lava flows and agglutinated ash-fall tuffs found to south and southeast of map area, including the dacite of Brown Peak",,middle Pliocene to upper Miocene
Tfrx,"Furnace Creek Formation, Rock-fall breccias","Breccias formed mainly in rock falls, composed of clasts of various Paleozoic formations exposed east of Travertine Point along southwest range-front of southern Funeral Mountains; transitional to adjacent giant-block breccias (Tflx); matrix is crushed rock of the same lithology as the enclosed clasts",,lower Pliocene to upper Miocene
Tft,"Furnace Creek Formation, Travertine","Travertine, thin- to medium-bedded, with interbeds of siltstone (mainly paludal groundwater discharge deposits) and lesser pebble conglomerate; classified here as the top of Furnace Creek Formation owing to greater concordance with playa claystones (Tf), below, than with Funeral Formation conglomerates (QTf). Deposited by springs and seeps at the toes of alluvial fans that built outward from the mountain front, and northwestward across the Furnace Creek basin, over playa deposits (Tf); a diachronous regressional deposit, formed in the interval from approximately 5 to 3 Ma based on stratigraphic bracketing",,Pliocene
Tfu,"Furnace Creek Formation, Upper claystone","Claystone, pale yellow with pumiceous ash-fall tuffs at base, dated at 3.1 to 3.5 Ma (sanidine, 40Ar/39Ar)",,Pliocene
Tnb,"Artist Drive Formation, Lower member, Volcanic part","Basalt and andesite lavas and possible related intrusives; andesite is correlative with the 11-Ma Sheephead Andesite, a widespread unit exposed to south, southeast, and southwest of map area that commonly contains abundant large laths of plagioclase in radiating clumps; basalt has a moderate abundance of plagioclase and olivine phenocrysts",,Miocene
Tng,"Artist Drive Formation equivalent, Alluvial",Alluvial conglomerates deposited in small basins formed on downthrown sides of major Miocene faults within southern Funeral Mountains; composed of clasts derived from various Paleozoic rock formations as well as rare clasts of Titus Canyon Formation (Ttc),,Miocene
Tnix,Fault breccia,"Brecciated Paleozoic rocks exposed within the Furnace Creek fault zone and other major fault zones; assigned to Navadu assemblage because Navadu tectonic stage was principal interval of movement on this fault; actual interval in which these breccias formed may be broader. Also used on map for fault breccia along the Funeral Mountains detachment fault, mainly composed of shattered Wood Canyon Formation",,Miocene
Tnix (Czw),Fault breccia,"Brecciated Paleozoic rocks exposed within the Furnace Creek fault zone and other major fault zones; assigned to Navadu assemblage because Navadu tectonic stage was principal interval of movement on this fault; actual interval in which these breccias formed may be broader. Also used on map for fault breccia along the Funeral Mountains detachment fault, mainly composed of shattered Wood Canyon Formation",,Miocene
Tnl,"Artist Drive Formation, Lower member, Sedimentary part","Pebbly sandstone and interbedded, locally gypsiferous claystone",,Miocene
Tnlx,"Artist Drive Formation equivalent, Giant-block landslide breccias","Genetically related to rock-avalanche breccias (Tnrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived are shown in parentheses",,Miocene
