code,title,description,span,lithology
Jc,Copper Queen Canyon Granite,"Light pink-colored, coarse-grained alaskitic granite that occurs throughout the central Slate Range (Moore, 1976). The rock has a distinctive appearance of an irregular mosaic of quartz and feldspar. The zircon U-Pb age is 159 ± 1 Ma (Dunne and Walker, 2004). Red garnet clots of 1–15 mm diameter are locally common.",Jurassic,
Jcg,Copper Queen Canyon Granite,"Light pink-colored, coarse-grained alaskitic granite that occurs throughout the central Slate Range (Moore, 1976). The rock has a distinctive appearance of an irregular mosaic of quartz and feldspar. The zircon U-Pb age is 159 ± 1 Ma (Dunne and Walker, 2004). Red garnet clots of 1–15 mm diameter are locally common.",Jurassic,
Jcp,Copper Queen Canyon Granite,"Light pink-colored, coarse-grained alaskitic granite that occurs throughout the central Slate Range (Moore, 1976). The rock has a distinctive appearance of an irregular mosaic of quartz and feldspar. The zircon U-Pb age is 159 ± 1 Ma (Dunne and Walker, 2004). Red garnet clots of 1–15 mm diameter are locally common.",Jurassic,
Jgb,granite of Goldbottom Mine,"A medium-grained alaskite containing sub-equal amounts of quartz, orthoclase, and plagioclase. This unit is strongly sheared and has a west-dipping cataclastic foliation that is also folded into broad open antiforms. The shearing in the southwestern portion of the outcrop shears mafic dikes that intruded the pluton (Moore, 1976). This unit has a U-Pb zircon age of 184.5 ± 6 Ma (Dunne and Walker, 2004).",Jurassic,
Jgd,hornblende diorite of Goler Wash,"Hornblende diorite that occurs along most of the western flank of the southern Panamint Range. Retrograde metamorphism chlorite mineralization is abundant. A sample from Goler Wash has a U-Pb zircon age of 175.6 ± 1.2 Ma (Andrew, 2002). A CA-TIMS zircon age of 177.721 ± 0.074 Ma (Andrew, 2019). The westernmost and structurally highest exposures have strong ductile fabrics with top-to-the-NE relative shear, similar to the Jurassic East Sierran thrust system found in the nearby southern Slate Range and Argus Ranges (Dunne and Walker, 2004).",Jurassic,
Jgr,granite,"A small exposure of medium-grained granitic rock intruding Crystal Springs Formation just south of Goler Wash. This unit occurs adjacent to the large volume hornblende diorite of Goler Wash.",Jurassic,
Jhd,hornblende diorite of Goler Wash,"Hornblende diorite that occurs along most of the western flank of the southern Panamint Range. Retrograde metamorphism chlorite mineralization is abundant. A sample from Goler Wash has a U-Pb zircon age of 175.6 ± 1.2 Ma (Andrew, 2002). A CA-TIMS zircon age of 177.721 ± 0.074 Ma (Andrew, 2019). The westernmost and structurally highest exposures have strong ductile fabrics with top-to-the-NE relative shear, similar to the Jurassic East Sierran thrust system found in the nearby southern Slate Range and Argus Ranges (Dunne and Walker, 2004).",Jurassic,
Ji,quartz monzonite of Isham Canyon,"Light gray, medium-grained, equigranular quartz monzonite (Moore, 1976). The sample identifier labels of Dunne and Walker (2004) are interpreted to have been switched between the sample for this quartz monzonite (sample SR-D4-3) and the sample for the Stockwell Diorite (sample SR-D3-3). These samples were both collected at the same locality in Geoff Canyon. Sample SR-D4-3 has an age of 166 ± 9 Ma and sample SR-D3-3 has an age of 100 ± 3 Ma. The interpreted age of the Isham Canyon Quartz Monzonite is therefore 100 ± 3 Ma.",Cretaceous,
Jmc,mixed complex,"[Ed. not actually mapped in the original publication]",Jurassic,melange
Jvs,Jurassic metavolcanic rocks,"Schistose clastic and tuffaceous metasedimentary rocks exposed in the Ophir Complex (Moore, 1976; Fowler, 1982) of the western Slate Range. These metavolcanic rocks may correlate with Late Jurassic metavolcanic rocks of the Warm Spring Formation in the Panamint Range or to similar rocks in the southern Slate Range (Dunne and Walker, 2004).",Jurassic,
