code,title,description,span,lithology
Tvba,basaltic-andesite,"A sequence of basaltic-andesite lava flows is present above the volcanic debris flow deposits. This sequence consists of several meter thick lava flows of basaltic andesite, with local interbedded flows of basalt and porphyritic hornblende and porphyritic plagioclase andesite. Along the eastern side of the Slate Range the sequence typically has a several meter thick interbeds of debris flow deposits and conglomerate; locally separated out as volcanic debris flow deposits (Nmv). These lavas have 40Ar/39Ar step-heating ages of 12.81 ± 0.40, 13.12 ± 0.77, 13.35 ± 0.49, 13.37 ± 0.60, 13.92 ± 0.06, 13.49 ± 0.03, and 13.56 ± 0.12 Ma (Andrew and Walker, 2009). Interpreted age (Ma) and error (± Ma) QNpa Nmv 49 24 o Nmp Nmv Ps Nmb Nmm 00 4 4.50 ± 0.24 Index map showing the location of the map area Pd Qy Ü 4600 0 00 520 54 j 73 0 Pb 30 0 Alpha Spring 5400 ( Ps 60 Jvs 00 Peach Spring 00 42 420 Bobcat Spring 5800 30 Nmb @ 3200 @ Nmb @",Miocene,
Tvp,pyroclastic,A conspicuous white tuffaceous unit occurs at or near the base of the Miocene volcanic section. This unit contains rhyolitic pumice and lava clasts along with accidental clasts of other lithologies. This unit is thickest in the northeastern portions of the Slate Range where it contains a pumice-rich basal section. Exposures of this unit in the southeastern Argus Range are interbedded with several basalt lava flows. @ @ 35 Nmm Nma Nmp Qpb Nmp Nmb Qp 3200 41 00 ( @ 2200 25 80 00 @ Slickenline 30 00 @ 52 Qc 2800 @ 18 o m Qa Nmp Po Nmv Nmm Nmm 38 28 Mp 55 3600 Hom 3400 Nmp Nma 15 j j ( o @ Nmb Nmv Nmv 35 81 Nmv Ps 33 Qo 81 39 Nmv Nmp 52 Nmm Nmm 28 Qo 3 @ @ T UL FA 00 @ @ @ @ L HIL 40 80 30 o ¹ @ Nmv Nmv 86 @ ( Msr 75 Qo 38,Miocene,
Qo1,younger intermediate age alluvial,"Unconsolidated silt, sand, and gravel deposited in now-abandoned stream channels. These deposits have poor soil and desert varnish development and are only slightly incised. Qy Qy QNpa Qy QNpa Nmq j Ü 41 64 Jhm 360 58 87 @ j 5600 Jid Jm 67 0 0 Jmc Jvs 38 j Qy Nmp Jmf 75 17 0 300 @ @ 62 460 500 34 33 Jma 55 @ Qo j 17 @ Npb Pc @ Npb 28 m 55 j 31 00 @ 00 GU 5800 ¹o Ü j ¹¹ Ü 00 56 Npb 0 0 54 Jmc Nmd 0 @ 26 38 Qy Qo Nmd 300 41 @ 3 @ @ 0 70 9 ( ( Jmc jj j 520 0 560 Nma Jid 34 7 Ú Ú ¹ Qc 4400",Holocene,
Qpa,older alluvial,Dissected and incised alluvial deposits and conglomerates that have well-developed pavement surfaces. Many of these deposits along the eastern flank of the Slate Range are tilted down eastward by a system of northwest-facing normal faults.,Pleistocene,
Qc,colluvium,"Poorly sorted, unconsolidated angular debris of local derivation deposited on slopes. Qo Qy 178 Qy @ AR 3 Qc QNpa QNpa @ Nmd Jhm Nma Jhm 00 ä 24 00 5200 @ ( 50 43 ( 60 00 0 60",Holocene,
Qo2,older intermediate age alluvial,"Unconsolidated silt, sand, and gravel deposits with moderate desert pavement and desert varnish development. Commonly occur as slightly upraised terraces above active and young inactive alluvium. These are younger than local Pleistocene lakes and so do not have lacustrine modifications. Qa Qo 13 Nma @ 16 Qo Qy QNpa Qo 53 88 QNpa ( 62 42 Qa 0 320 00 Jm 34 52",Holocene,
^m,marble,"Light gray ductilely deformed marble. In the northern portion of the map area it occurs in a set of duplicated thrust horses and as pods of mylonitic marble along the Argus-Sterling thrust, where it is about 15 m thick. This marble is thicker in Water Canyon where it is ~200 m thick with a basal lenticular unit of gray marble ~25 m thick, overlain by tan-weathering, laminated calcsilcate-hornfels and thin-bedded marble. Southeast of Fish Canyon in Slate Range, this marble occurs in a set of thrusts that duplicate this unit with the Conglomerate Mesa Formation(?).",Triassic,
Tpvb,basalts of Etcheron Valley,"Relatively fresh-appearing basalt lava flows exposed in the high plateau area of the Argus Range. There are local ductile anticline and synclines, where the flow foliation changes abruptly from shallow to subvertical. These folds in the flow foliation of basaltic lava are interpreted to be where the lavas flowed over fault scarps. These lava flows have 40Ar/39Ar step-heating ages of 4.0 ± 0.1 Ma, 4.4 ± 0.2 Ma, and 4.5 ± 0.2 Ma (Andrew and Walker, 2009). Nma Dike ( ( Thrust fault",Pliocene,
Jmc,"Jmc, mixed complex","Diverse plutonic rocks, dominated by non-porphyritic rocks of granitic to dioritic composition and containing numerous mafic to felsic, west-northwest-trending dikes. The dikes are part the ca. 148 Ma Independence dike swarm (Chen and Moore, 1979). This is part of the ca. 156 Ma Coso Range batholith of Chen and Moore (1979). Nmr 45",Jurassic,
Tvb,basalt,"A sequence of basaltic-andesite lava flows is present above the volcanic debris flow deposits. This sequence consists of several meter thick lava flows of basaltic andesite, with local interbedded flows of basalt and porphyritic hornblende and porphyritic plagioclase andesite. Along the eastern side of the Slate Range the sequence typically has a several meter thick interbeds of debris flow deposits and conglomerate; locally separated out as volcanic debris flow deposits (Nmv). These lavas have 40Ar/39Ar step-heating ages of 12.81 ± 0.40, 13.12 ± 0.77, 13.35 ± 0.49, 13.37 ± 0.60, 13.92 ± 0.06, 13.49 ± 0.03, and 13.56 ± 0.12 Ma (Andrew and Walker, 2009). Interpreted age (Ma) and error (± Ma) QNpa Nmv 49 24 o Nmp Nmv Ps Nmb Nmm 00 4 4.50 ± 0.24 Index map showing the location of the map area Pd Qy Ü 4600 0 00 520 54 j 73 0 Pb 30 0 Alpha Spring 5400 ( Ps 60 Jvs 00 Peach Spring 00 42 420 Bobcat Spring 5800 30 Nmb @ 3200 @ Nmb @",Miocene,
